CompanyCode,CompanyName,ShortCompanyName,TickerName,ParentCompanyCode,PersonDescription,PersonName,ExecutiveDescription,ExecutiveName,BSECode,BSEGroup,NSECode,ISINCode,Sourcetype,IncorporationDate,FirstPublicIssueDate,Auditeddate,FaceValue,Marketlot,IndustryCode,IndustryName,BusinessGroupCode,BusinessGroupName,MajorSector,latestFinYear,ForemostFinYear,LatestHalfYear,ForemostHalfYear,LatestQtrYear,ForemostQtrYear,ModifiedDate
10560008.0,ZF Steering Gear (India) Ltd.,ZF Steering Gear,ZFSterngGear,0.0,Mr.,Dinesh Munot,Mr.,Satish Mehta,505163.0,X,,INE116C01012,A,1981-01-21,,,10.0,1.0,56,Auto Ancl - Gears & Drive,10048,Firodias Group,1,2103,8903,2203,8903,2206.0,9706.0,2022-08-01 07:20:04
10560036.0,SAR Auto Products Ltd.,SAR Auto Products,SAR Auto,0.0,Mr.,Rameshkumar Dhurlabjibhai Virani,Ms.,Zalak Kamlesh Upadhyay,538992.0,X,,INE002E01010,A,1987-10-27,,,10.0,1.0,56,Auto Ancl - Gears & Drive,10514,Not Applicable,1,2103,903,2203,1009,2206.0,1006.0,2022-08-01 07:20:04
11050089.0,Heritage Foods Ltd.,Heritage Foods,HeritageFood,0.0,,,Mr.,Umakanta Barik,519552.0,A,HERITGFOOD,INE978A01027,A,1992-06-05,1994-11-17,,5.0,1.0,129,Food Processing - Bakery/Dairy/Fruits/Others,10514,Not Applicable,1,2203,9403,2203,9403,2206.0,9706.0,2022-08-01 07:20:04
11070010.0,Nahar Industrial Enterprises Ltd.,Nahar Indust.Ent,NaharIndlEnt,0.0,Mr.,Jawahar Lal Oswal,Mr.,Mukesh Sood,519136.0,B,NAHARINDUS,INE289A01011,A,1983-09-27,,,10.0,1.0,601,Textiles - Composite Mills,10111,Oswal Woollen Mill Group,1,2103,8806,2203,8909,2206.0,9806.0,2022-08-01 07:20:04
11070071.0,Jayant Agro Organics Ltd.,Jayant Agro Org,Jayant Agro,0.0,Mr.,Hemant V Udeshi,Mr.,Dinesh M Kapadia,524330.0,B,JAYAGROGN,INE785A01026,A,1992-05-07,1993-05-20,,5.0,1.0,206,Chemicals - Speciality - Others,10514,Not Applicable,1,2103,9303,2203,9309,2206.0,9706.0,2022-08-01 07:20:04
11070110.0,3P Land Holdings Ltd.,3P Land Holdings,PudmjeAgroIn,0.0,Mr.,G N Jajodia,Mr.,J W Patil,516092.0,B,3PLAND,INE105C01023,A,1965-12-13,1994-02-11,,2.0,1.0,162,Construction & Contracting,10047,Shri Ishar Group,1,2203,9503,2203,9309,2206.0,9706.0,2022-08-01 07:20:04
11080006.0,Kesar Enterprises Ltd.,Kesar Enterprise,Kesar Entpr,0.0,Mr.,H R Kilachand,,,507180.0,X,,INE133B01019,A,1933-08-01,,,10.0,1.0,132,Sugar,10078,Kilachand Group,1,2103,8903,2203,8903,2203.0,9803.0,2022-08-01 07:20:04
11080044.0,Sir Shadilal Enterprises Ltd.,Sir Shadilal Ent,Sir Shadilal,0.0,Mr.,Rajat Lal,Mr.,Ajay Kumar Jain,532879.0,X,,INE117H01019,A,1933-01-13,,,10.0,1.0,132,Sugar,10514,Not Applicable,1,2103,9403,2203,9809,2206.0,9812.0,2022-08-01 07:20:04
11120022.0,Virat Crane Industries Ltd.,Virat Crane Indu,ViratCranInd,0.0,Mr.,G V S L Kantha Rao,Mr.,R Adi Venkata Rama,519457.0,X,,INE295C01014,A,1992-06-18,1994-06-14,,10.0,1.0,265,Pan Masala/Tobacco Products,10514,Not Applicable,1,2103,9403,2203,9403,2206.0,9706.0,2022-08-01 07:20:04
11120204.0,Gokul Agro Resources Ltd.,Gokul Agro Resources,GokulAgroRes,0.0,Mr.,Jayesh Thakkar,Ms.,Chinar Jethwani,539725.0,B,GOKULAGRO,INE314T01025,A,2014-07-03,,,2.0,1.0,112,Edible Oils & Solvent Extraction,10514,Not Applicable,1,2103,1503,2203,1503,2206.0,1506.0,2022-08-01 07:20:04
11250011.0,Multi Commodity Exchange of India Ltd.,MCX,MCX,0.0,Mr.,P S Reddy,Mr.,Ajay Puri,534091.0,A,MCX,INE745G01035,A,2002-04-19,2012-02-22,,10.0,1.0,415,Exchanges,10514,Not Applicable,1,2103,303,2203,703,2206.0,1103.0,2022-08-01 07:20:04
11250231.0,Mukta Agriculture Ltd.,Mukta Agriculture,Pearl Agri,0.0,Mr.,Mohit Khadaria,Mr.,Gourav Mundra,535204.0,X,,INE160O01031,A,2011-08-29,,,10.0,1.0,125,Trading,10514,Not Applicable,1,2103,1203,2203,1203,2206.0,1203.0,2022-08-01 07:20:04
11250657.0,Confidence Futuristic Energetech Ltd.,Confidence Futurist,GI Resources,14560025.0,Mr.,Nitin Punamchand Khara,Ms.,Prity Bhabhra,539991.0,X,,INE700F01016,A,1985-06-26,,,10.0,1.0,125,Trading,10514,Not Applicable,1,2103,1203,2203,1203,2206.0,1206.0,2022-08-01 07:20:04
