Scrip Code,COMPANY,ISIN No.,Close Price
542772,360 ONE WAM Ltd,INE466L01038,712.250000
523395,3M India Ltd,INE470A01017,30772.200000
524348,Aarti Drugs Ltd,INE767A01016,535.350000
524208,Aarti Industries Ltd.,INE769A01020,682.650000
541988,AAVAS Financiers Ltd,INE216P01012,1420.600000
500002,ABB India Ltd,INE117A01022,4467.750000
500488,Abbott India Ltd,INE358A01014,29163.050000
500410,ACC Ltd,INE012A01025,2638.150000
539254,Adani Energy Solutions Ltd,INE931S01010,1051.500000
512599,Adani Enterprises Ltd,INE423A01024,3194.150000
541450,Adani Green Energy Ltd,INE364U01010,1900.550000
532921,Adani Ports and Special Economic Zone,INE742F01042,1266.500000
533096,Adani Power Ltd,INE814H01011,561.350000
542066,Adani Total Gas Limited,INE399L01023,1007.200000
543458,Adani Wilmar Ltd,INE699H01024,337.300000
540691,Aditya Birla Capital Ltd,INE674K01013,181.150000
535755,Aditya Birla Fashion and Retail Ltd,INE647O01011,238.600000
543374,Aditya Birla Sun Life AMC LTd,INE404A01024,474.750000
500003,Aegis Logistics Ltd,INE208C01025,425.500000
543534,Aether Industries Ltd,INE0BWX01014,865.950000
542752,Affle (India) Ltd,INE00WC01027,1181.600000
532683,AIA Engineering Ltd,INE212H01026,3846.600000
532331,Ajanta Pharma Ltd,INE031B01049,2152.250000
500710,Akzo Nobel India Ltd,INE133A01011,2803.150000
533573,Alembic Pharmaceuticals Ltd,INE901L01018,1003.600000
539523,Alkem Laboratories Ltd,INE540L01014,5306.750000
506767,Alkyl Amines Chemicals Ltd,INE150B01039,2197.050000
521070,Alok Industries Ltd,INE270A01029,29.370000
500008,Amara Raja Energy & Mobility Ltd,INE885A01032,864.450000
540902,Amber Enterprises India Ltd,INE371P01015,3910.500000
500425,Ambuja Cements Ltd,INE079A01024,571.800000
543235,Angel One Limited,INE732I01013,3268.850000
543275,Anupam Rasayan India Ltd,INE930P01018,890.200000
532259,Apar Industries Ltd,INE372A01015,6110.150000
533758,APL Apollo Tubes Ltd,INE702C01027,1419.350000
508869,Apollo Hospitals Enterprise Ltd,INE437A01024,6627.500000
500877,Apollo Tyres Ltd,INE438A01022,520.700000
543335,Aptus Value Housing Finance India Ltd,INE852O01025,359.000000
543657,Archean Chemical Industries Ltd,INE128X01021,632.200000
515030,Asahi India Glass Ltd,INE439A01020,539.950000
500477,Ashok Leyland Ltd,INE208A01029,174.500000
500820,Asian Paints Ltd,INE021A01026,3015.700000
540975,Aster DM Healthcare Ltd,INE914M01019,475.250000
532830,ASTRAL LIMITED,INE006I01046,1955.650000
506820,AstraZeneca Pharm India,INE203A01020,5507.100000
500027,Atul Ltd.,INE100A01010,6361.300000
540611,AU Small Finance Bank Ltd,INE949L01017,581.700000
524804,Aurobindo Pharma Ltd,INE406A01037,1018.200000
512573,Avanti Feeds Ltd,INE871C01038,512.600000
540376,Avenue Supermarts Ltd,INE192R01011,3677.950000
532215,Axis Bank Ltd,INE238A01034,1072.600000
532977,Bajaj Auto Ltd,INE917I01010,8120.600000
500034,Bajaj Finance Ltd,INE296A01024,6619.900000
532978,Bajaj Finserv Ltd,INE918I01026,1569.450000
500490,Bajaj Holdings and Investment Ltd,INE118A01012,8782.550000
530999,Balaji Amines Ltd,INE050E01027,2234.700000
502355,Balkrishna Industries Ltd,INE787D01026,2335.000000
500038,Balrampur Chini Mills Ltd,INE119A01028,373.000000
541153,Bandhan Bank Ltd,INE545U01014,197.350000
532134,Bank of Baroda,INE028A01039,275.550000
532149,Bank of India,INE084A01016,142.850000
532525,Bank Of Maharashtra,INE457A01014,62.240000
500042,BASF India Limited,INE373A01013,3363.050000
500043,Bata India Ltimited,INE176A01028,1410.150000
506285,Bayer CropScience Ltd/India,INE462A01022,5869.600000
509480,Berger Paints India Ltd,INE463A01038,553.100000
541143,Bharat Dynamics Ltd,INE171Z01018,1664.350000
500049,Bharat Electronics Ltd,INE263A01024,185.900000
500493,Bharat Forge Ltd,INE465A01025,1110.100000
500103,Bharat Heavy Electricals Ltd,INE257A01026,227.550000
500547,Bharat Petroleum Corp Ltd,INE029A01011,652.450000
532454,Bharti Airtel Ltd,INE397D01024,1121.150000
543653,Bikaji Foods International Ltd,INE00E101023,539.050000
532523,Biocon Ltd,INE376G01013,274.300000
500335,Birla Corp Ltd,INE340A01012,1674.500000
532400,Birlasoft Ltd,INE836A01035,844.000000
540073,BLS International Services Ltd,INE153T01027,362.400000
526612,Blue Dart Express Ltd,INE233B01017,6141.700000
500067,Blue Star Ltd,INE472A01039,1233.250000
501425,Bombay Burmah Trading Corp Ltd.,INE050A01025,1732.800000
502219,Borosil Renewables Ltd,INE666D01022,538.800000
500530,Bosch Ltd,INE323A01026,27962.250000
532929,Brigade Enterprises Ltd,INE791I01019,987.100000
500825,Britannia Industries Ltd.,INE216A01030,4949.700000
543425,C.E. Info Systems Ltd,INE0BV301023,1894.100000
543523,Campus Activewear Ltd,INE278Y01022,240.000000
511196,Can Fin Homes Ltd,INE477A01020,816.600000
532483,Canara Bank,INE476A01014,587.200000
524742,Caplin Point Laboratories Ltd,INE475E01026,1543.400000
531595,Capri Global Capital  LTD,INE180C01026,946.500000
513375,Carborundum Universal Ltd,INE120A01034,1110.950000
500870,Castrol India Ltd,INE172A01027,198.700000
519600,CCL Products (India) Ltd.,INE421D01022,659.050000
500878,CEAT Ltd,INE482A01020,2820.550000
532885,Central Bank of India,INE483A01010,67.440000
532548,Century Plyboards India Ltd,INE348B01021,751.800000
500040,Century Textile & Industries Ltd,INE055A01016,1427.350000
532443,Cera Sanitaryware Ltd,INE739E01017,7341.600000
500084,CESC Ltd,INE486A01021,133.550000
500093,CG Power and Industrial Solutions Ltd,INE067A01029,438.850000
542399,Chalet Hotels Ltd,INE427F01016,840.250000
500085,Chambal Fertilizers & Chemicals Ltd,INE085A01013,363.450000
543336,Chemplast Sanmar Ltd,INE488A01050,453.550000
504973,Cholamandalam Financial Holdings Ltd,INE149A01033,1089.650000
511243,Cholamandalam Investment & Finance Co. Ltd.,INE121A01024,1124.100000
532756,CIE Automotive India Ltd,INE536H01010,480.250000
500087,Cipla Ltd/India,INE059A01026,1422.850000
532210,City Union Bank Ltd.,INE491A01021,137.500000
543318,Clean Science and Technology Ltd,INE227W01023,1392.100000
533278,Coal India Ltd,INE522F01014,476.700000
540678,Cochin Shipyard Ltd,INE704P01025,861.350000
532541,Coforge Ltd,INE591G01017,6636.750000
500830,Colgate-Palmolive India Ltd,INE259A01022,2589.000000
543232,Computer Age Management Services Ltd,INE596I01012,2908.950000
531344,Container Corp Of India,INE111A01025,955.700000
506395,Coromandel International Ltd,INE169A01031,1103.500000
543276,Craftsman Automation Ltd,INE00LO01017,4275.400000
541770,CreditAccess Grameen Ltd,INE741K01010,1556.700000
500092,CRISIL Ltd,INE007A01025,4594.700000
539876,Crompton Greaves Consumer Electricals Ltd,INE299U01018,283.050000
542867,CSB Bank Ltd,INE679A01013,373.700000
500480,Cummins India Ltd,INE298A01020,2631.800000
532175,Cyient Ltd,INE136B01020,2099.600000
500096,Dabur India Ltd,INE016A01026,544.250000
542216,Dalmia Bharat Ltd,INE00R701025,2046.300000
543428,Data Patterns (India) Ltd,INE0IX101010,1855.200000
523367,DCM Shriram Ltd,INE499A01024,980.150000
500645,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,508.200000
506401,Deepak Nitrite Limited,INE288B01029,2281.950000
543529,Delhivery Limited,INE148O01028,462.350000
532848,Delta Corp. Ltd.,INE124G01033,139.100000
543330,Devyani International Ltd,INE872J01023,150.550000
532488,Divi's Laboratories Ltd,INE361B01024,3710.650000
540699,Dixon Technologies (India) Ltd,INE935N01020,6359.350000
532868,DLF Ltd,INE271C01023,850.950000
500124,Dr Reddy's Laboratories Ltd,INE089A01023,6253.800000
539524,Dr. Lal PathLabs Ltd,INE600L01024,2432.700000
543272,Easy Trip Planners Ltd,INE07O001026,48.880000
532927,eClerx Services Ltd,INE738I01010,2317.700000
505200,Eicher Motors Ltd,INE066A01021,3914.800000
500125,EID Parry India Ltd,INE126A01031,586.900000
500840,EIH Ltd,INE230A01023,409.600000
522074,Elgi Equipments Ltd.,INE285A01027,648.800000
531162,Emami Ltd,INE548C01032,461.750000
540153,Endurance Technologies Ltd,INE913H01037,1795.550000
532178,Engineers India Ltd,INE510A01028,215.950000
500135,EPL Ltd,INE255A01020,193.000000
543243,Equitas Small Finance Bank Ltd,INE063P01018,101.900000
540596,Eris Lifesciences Ltd,INE406M01024,856.800000
500133,Esab India Ltd,INE284A01012,5353.250000
500495,Escorts Ltd,INE042A01014,2904.600000
543482,Eureka Forbes Limited,INE0KCE01017,475.950000
500086,Exide Industries Ltd,INE302A01020,334.250000
531599,FDC Ltd,INE258B01022,454.050000
500469,Federal Bank Ltd,INE171A01029,156.600000
541557,Fine Organic Industries Ltd,INE686Y01026,4275.350000
500144,Finolex Cables Ltd,INE235A01022,1003.200000
500940,Finolex Industries Ltd,INE183A01024,218.550000
532809,Firstsource Solutions Ltd,INE684F01012,200.900000
543663,Five-Star Business Finance Ltd,INE128S01021,766.900000
532843,Fortis Healthcare Ltd.,INE061F01013,432.700000
543384,FSN E-Commerce Ventures Ltd,INE388Y01029,153.350000
543317,G R Infraprojects Ltd,INE201P01022,1211.300000
532155,Gail India Ltd,INE129A01019,184.200000
540935,Galaxy Surfactants Ltd,INE600K01018,2530.300000
509557,Garware Technical Fibres Ltd,INE276A01018,3451.450000
540755,General Insurance Corporation of India,INE481Y01014,384.450000
507815,Gillette India Ltd,INE322A01010,6716.750000
543245,Gland Pharma Ltd,INE068V01023,1896.900000
500660,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,2198.500000
532296,Glenmark Pharmaceuticals Ltd,INE935A01035,809.600000
543654,Global Health Ltd,INE474Q01031,1389.100000
505255,GMM Pfaudler Limited,INE541A01023,1387.150000
532754,GMR Airports Infrastructure Ltd,INE776C01039,90.330000
500163,Godfrey Phillips India Ltd,INE260B01028,2571.900000
540743,Godrej Agrovet Ltd,INE850D01014,511.800000
532424,Godrej Consumer Products Ltd,INE102D01028,1231.650000
500164,Godrej Industries Ltd,INE233A01035,813.400000
533150,Godrej Properties Ltd,INE484J01027,2283.350000
532482,Granules India Ltd,INE101D01020,436.000000
509488,Graphite India Ltd.,INE371A01025,548.750000
500300,Grasim Industries Ltd,INE047A01021,2082.850000
500620,Great Eastern Shipping Co Ltd/The,INE017A01032,953.350000
506076,Grindwell Norton Ltd,INE536A01023,2175.100000
530001,Gujarat Alkalies & Chemicals Ltd.,INE186A01019,812.600000
524226,Gujarat Ambuja Exports Ltd,INE036B01030,365.100000
542812,Gujarat Fluorochemicals Ltd,INE09N301011,3506.450000
539336,Gujarat Gas Ltd,INE844O01030,580.850000
500670,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,653.600000
533248,Gujarat Pipavav Port Ltd,INE517F01014,191.400000
500690,Gujarat State Fertilisers & Chemicals Ltd,INE026A01025,241.300000
