CompanyName,ISIN,NSECode,BSECode,Date,MFList,CompanyCode,BTTDate
360 One Wam Ltd.,INE466L01038,360ONE,542772.000000,2024-02-01,True,14010688.000000,2024-02-01
3M India Ltd.,INE470A01017,3MINDIA,523395.000000,2024-02-01,True,17010019.000000,2024-02-01
ABB India Ltd.,INE117A01022,ABB,500002.000000,2024-02-01,True,13130003.000000,2024-02-01
ACC Ltd.,INE012A01025,ACC,500410.000000,2024-02-01,True,11510001.000000,2024-02-01
AIA Engineering Ltd.,INE212H01026,AIAENG,532683.000000,2024-02-01,True,13510066.000000,2024-02-01
APL Apollo Tubes Ltd.,INE702C01027,APLAPOLLO,533758.000000,2024-02-01,True,15580082.000000,2024-02-01
Au Small Finance Bank Ltd.,INE949L01017,AUBANK,540611.000000,2024-02-01,True,14094831.000000,2024-02-01
Aarti Drugs Ltd.,INE767A01016,AARTIDRUGS,524348.000000,2024-02-01,True,12540082.000000,2024-02-01
Aarti Industries Ltd.,INE769A01020,AARTIIND,524208.000000,2024-02-01,True,12070021.000000,2024-02-01
Aavas Financiers Ltd.,INE216P01012,AAVAS,541988.000000,2024-02-01,True,14080119.000000,2024-02-01
Abbott India Ltd.,INE358A01014,ABBOTINDIA,500488.000000,2024-02-01,True,12540008.000000,2024-02-01
Adani Energy Solutions Ltd.,INE931S01010,ADANIENSOL,539254.000000,2024-02-01,True,17152581.000000,2024-02-01
Adani Enterprises Ltd.,INE423A01024,ADANIENT,512599.000000,2024-02-01,True,16610041.000000,2024-02-01
Adani Green Energy Ltd.,INE364U01010,ADANIGREEN,541450.000000,2024-02-01,True,15130762.000000,2024-02-01
Adani Ports & Special Economic Zone Ltd.,INE742F01042,ADANIPORTS,532921.000000,2024-02-01,True,17025086.000000,2024-02-01
Adani Power Ltd.,INE814H01011,ADANIPOWER,533096.000000,2024-02-01,True,16610491.000000,2024-02-01
Adani Total Gas Ltd.,INE399L01023,ATGL,542066.000000,2024-02-01,True,17027894.000000,2024-02-01
Adani Wilmar Ltd.,INE699H01024,AWL,543458.000000,2024-02-01,True,11120058.000000,2024-02-01
Aditya Birla Capital Ltd.,INE674K01013,ABCAPITAL,540691.000000,2024-02-01,True,14094863.000000,2024-02-01
Aditya Birla Fashion and Retail Ltd.,INE647O01011,ABFRL,535755.000000,2024-02-01,True,10770005.000000,2024-02-01
Aegis Logistics Ltd.,INE208C01025,AEGISCHEM,500003.000000,2024-02-01,True,12040001.000000,2024-02-01
Aether Industries Ltd.,INE0BWX01014,AETHER,543534.000000,2024-02-01,True,12060152.000000,2024-02-01
Affle (India) Ltd.,INE00WC01027,AFFLE,542752.000000,2024-02-01,True,14094934.000000,2024-02-01
Ajanta Pharma Ltd.,INE031B01049,AJANTPHARM,532331.000000,2024-02-01,True,12540406.000000,2024-02-01
Alembic Pharmaceuticals Ltd.,INE901L01018,APLLTD,533573.000000,2024-02-01,True,12540995.000000,2024-02-01
Alkem Laboratories Ltd.,INE540L01014,ALKEM,539523.000000,2024-02-01,True,12540464.000000,2024-02-01
