CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode
360 One Wam Ltd.,INE466L01038,360ONE,542772,2020-02-03,False,2020-02-03,14010688.000000
3M India Ltd.,INE470A01017,3MINDIA,523395,2020-02-03,False,2020-02-03,17010019.000000
ABB India Ltd.,INE117A01022,ABB,500002,2020-02-03,False,2020-02-03,13130003.000000
ACC Ltd.,INE012A01025,ACC,500410,2020-02-03,False,2020-02-03,11510001.000000
AIA Engineering Ltd.,INE212H01026,AIAENG,532683,2020-02-03,False,2020-02-03,13510066.000000
APL Apollo Tubes Ltd.,INE702C01027,APLAPOLLO,533758,2020-02-03,False,2020-02-03,15580082.000000
Au Small Finance Bank Ltd.,INE949L01017,AUBANK,540611,2020-02-03,False,2020-02-03,14094831.000000
Aarti Drugs Ltd.,INE767A01016,AARTIDRUGS,524348,2020-02-03,False,2020-02-03,12540082.000000
Aarti Industries Ltd.,INE769A01020,AARTIIND,524208,2020-02-03,False,2020-02-03,12070021.000000
Aavas Financiers Ltd.,INE216P01012,AAVAS,541988,2020-02-03,False,2020-02-03,14080119.000000
Abbott India Ltd.,INE358A01014,ABBOTINDIA,500488,2020-02-03,False,2020-02-03,12540008.000000
Adani Energy Solutions Ltd.,INE931S01010,ADANIENSOL,539254,2020-02-03,False,2020-02-03,17152581.000000
Adani Enterprises Ltd.,INE423A01024,ADANIENT,512599,2020-02-03,False,2020-02-03,16610041.000000
Adani Green Energy Ltd.,INE364U01010,ADANIGREEN,541450,2020-02-03,False,2020-02-03,15130762.000000
Adani Ports & Special Economic Zone Ltd.,INE742F01042,ADANIPORTS,532921,2020-02-03,False,2020-02-03,17025086.000000
Adani Power Ltd.,INE814H01011,ADANIPOWER,533096,2020-02-03,False,2020-02-03,16610491.000000
Adani Total Gas Ltd.,INE399L01023,ATGL,542066,2020-02-03,False,2020-02-03,17027894.000000
Aditya Birla Capital Ltd.,INE674K01013,ABCAPITAL,540691,2020-02-03,False,2020-02-03,14094863.000000
Aditya Birla Fashion and Retail Ltd.,INE647O01011,ABFRL,535755,2020-02-03,False,2020-02-03,10770005.000000
Aegis Logistics Ltd.,INE208C01025,AEGISCHEM,500003,2020-02-03,False,2020-02-03,12040001.000000
Affle (India) Ltd.,INE00WC01027,AFFLE,542752,2020-02-03,False,2020-02-03,14094934.000000
Ajanta Pharma Ltd.,INE031B01049,AJANTPHARM,532331,2020-02-03,False,2020-02-03,12540406.000000
Alembic Pharmaceuticals Ltd.,INE901L01018,APLLTD,533573,2020-02-03,False,2020-02-03,12540995.000000
Alkem Laboratories Ltd.,INE540L01014,ALKEM,539523,2020-02-03,False,2020-02-03,12540464.000000
Alkyl Amines Chemicals Ltd.,INE150B01039,ALKYLAMINE,506767,2020-02-03,False,2020-02-03,12070001.000000
Allcargo Logistics Ltd.,INE418H01029,ALLCARGO,532749,2020-02-03,False,2020-02-03,17110005.000000
Alok Industries Ltd.,INE270A01029,ALOKINDS,521070,2020-02-03,False,2020-02-03,16010040.000000
Amara Raja Energy & Mobility Ltd.,INE885A01032,ARE&M,500008,2020-02-03,False,2020-02-03,13150010.000000
Amber Enterprises India Ltd.,INE371P01015,AMBER,540902,2020-02-03,False,2020-02-03,13210012.000000
Ambuja Cements Ltd.,INE079A01024,AMBUJACEM,500425,2020-02-03,False,2020-02-03,11510005.000000
