CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PATRAW,PAT,Equity,Reserves,EPS,NPM,Ext_Flag,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth
Ashok Leyland Ltd.,INE208A01029,ASHOKLEY,500477.000000,2024-02-01,True,2024-02-01,10510001.000000,2023-12-31,3.000000,3.000000,93030400000.000000,81590800000.000000,11439600000.000000,616300000.000000,1784700000.000000,-5900000.000000,9032700000.000000,3232400000.000000,5800300000.000000,5800300000.000000,2936100000.000000,0.000000,1.975512,6.234844,False,60.521946,2.668282,1.910732,181.418572,96855000000.000000,16.890781
Force Motors Ltd.,INE451A01017,FORCEMOT,500033.000000,2023-12-31,True,2024-02-01,10510002.000000,2023-12-31,3.000000,3.000000,16955300000.000000,14672000000.000000,2283300000.000000,141100000.000000,682800000.000000,0.000000,1459400000.000000,512000000.000000,947400000.000000,947400000.000000,131800000.000000,0.000000,7.188164,5.587633,False,2186.784141,29.537554,7.455235,392.038057,18106300000.000000,41.890007
Eicher Motors Ltd.,INE066A01021,EICHERMOT,505200.000000,2024-02-01,True,2024-02-01,10510004.000000,2023-12-31,3.000000,3.000000,43037400000.000000,29394100000.000000,13643300000.000000,51300000.000000,1380700000.000000,0.000000,12211300000.000000,3074000000.000000,9137300000.000000,9137300000.000000,273800000.000000,0.000000,33.372169,21.231069,False,34.086798,13.818218,34.289368,52.524837,42066700000.000000,18.478056
Tata Motors Ltd.,INE155A01022,TATAMOTORS,500570.000000,2024-02-01,True,2024-02-01,10510008.000000,2023-12-31,3.000000,3.000000,188153800000.000000,166930800000.000000,21223000000.000000,4119500000.000000,5131300000.000000,36689000000.000000,48661200000.000000,2960700000.000000,45700500000.000000,45700500000.000000,7663200000.000000,0.000000,5.963631,24.288906,False,802.467705,17.837987,1.657039,533.801183,191215100000.000000,26.282605
Tata Technologies Ltd.,INE142M01025,TATATECH,544028.000000,2023-12-31,True,2024-02-01,10510008.020000,2023-12-31,3.000000,3.000000,7122100000.000000,5640500000.000000,1481600000.000000,32100000.000000,166900000.000000,0.000000,1282600000.000000,341900000.000000,940700000.000000,940700000.000000,811300000.000000,0.000000,1.159497,13.208183,False,,,,,,
Mahindra & Mahindra Ltd.,INE101A01026,M&M,500520.000000,2024-02-01,True,2024-02-01,10520003.000000,2023-12-31,3.000000,3.000000,260255100000.000000,220520900000.000000,39734200000.000000,348200000.000000,8178700000.000000,0.000000,31207300000.000000,6667500000.000000,24539800000.000000,24539800000.000000,5994900000.000000,0.000000,4.093446,9.429133,False,60.390887,16.582160,5.759661,64.936547,265918000000.000000,19.971216
Tech Mahindra Ltd.,INE669C01036,TECHM,532755.000000,2024-02-01,True,2024-02-01,10520003.010000,2023-12-31,3.000000,3.000000,108166000000.000000,99999000000.000000,8167000000.000000,753000000.000000,1996000000.000000,0.000000,5418000000.000000,559000000.000000,4859000000.000000,4859000000.000000,4881000000.000000,0.000000,0.995493,4.492169,False,-59.755446,-4.751589,1.139401,-52.282234,109533000000.000000,-2.652044
Mahindra & Mahindra Financial Services Ltd.,INE774D01024,M&MFIN,532720.000000,2024-02-01,True,2024-02-01,10520003.140000,2023-12-31,3.000000,3.000000,34904200000.000000,6950300000.000000,27953900000.000000,16749600000.000000,579600000.000000,0.000000,7341100000.000000,1813200000.000000,5527900000.000000,5527900000.000000,2471100000.000000,0.000000,2.237020,15.837349,False,-12.283352,20.711037,0.951722,-47.647122,32404900000.000000,24.189061
Maruti Suzuki India Ltd.,INE585B01010,MARUTI,532500.000000,2024-02-01,True,2024-02-01,10520005.000000,2023-09-30,3.000000,2.000000,379057000000.000000,322779000000.000000,56278000000.000000,351000000.000000,7941000000.000000,0.000000,47986000000.000000,10821000000.000000,37165000000.000000,37165000000.000000,1510000000.000000,0.000000,24.612583,9.804594,False,80.281349,24.104795,16.457616,145.369273,333281000000.000000,25.348744
VST Tillers Tractors Ltd.,INE764D01017,VSTTILLERS,531266.000000,2023-12-31,True,2024-02-01,10530005.000000,2023-12-31,3.000000,3.000000,1881200000.000000,1604200000.000000,277000000.000000,5900000.000000,67800000.000000,0.000000,203300000.000000,33800000.000000,169500000.000000,169500000.000000,86400000.000000,0.000000,1.961806,9.010206,False,-12.763767,-15.569319,4.218994,60.290237,2924200000.000000,20.600487
