CompanyName,ISIN,NSECode,BSECode,CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PATRAW,PAT,Equity,Reserves,EPS,NPM,Ext_Flag,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth,EPS Rating,TTM1 EPS,TTM1 Sales,TTM2 EPS,TTM2 Sales,TTM3 EPS,TTM3 Sales
Ashok Leyland Ltd.,INE208A01029,ASHOKLEY,500477.000000,10510001.000000,2023-12-31,3.000000,3.000000,111194500000.000000,91314200000.000000,19880300000.000000,7827300000.000000,2409200000.000000,132500000.000000,9776300000.000000,3748700000.000000,6027600000.000000,6027600000.000000,2936100000.000000,0.000000,2.052927,5.420772,False,72.236827,6.606273,1.928919,208.423261,114630300000.000000,19.154848,185.909709,236.47568713706045,22.261469865174643,294.40220015988046,18628555471.2,-0.454545454545455,-99.99999878910441
Force Motors Ltd.,INE451A01017,FORCEMOT,500033.000000,10510002.000000,2023-12-31,3.000000,3.000000,16956600000.000000,14672000000.000000,2284600000.000000,141100000.000000,682800000.000000,0.000000,1460700000.000000,512300000.000000,948400000.000000,948400000.000000,131800000.000000,0.000000,7.195751,5.593102,False,2221.700224,29.537589,7.461305,390.718563,18107400000.000000,41.887508,1058.037538,1802.8348003286774,88.02794272549902,-49.51489188923032,1919.6065116182183,46.06319336845194,141276.5784716516
Eicher Motors Ltd.,INE066A01021,EICHERMOT,505200.000000,10510004.000000,2023-12-31,3.000000,3.000000,44325700000.000000,30885700000.000000,13440000000.000000,124300000.000000,1475400000.000000,0.000000,11840300000.000000,3019100000.000000,8821200000.000000,8821200000.000000,273800000.000000,0.000000,32.217677,19.900870,False,30.165222,13.268785,33.405040,49.105305,43883100000.000000,19.637025,11000.025451,37.981555266356054,18.979904382104113,-10.392390898807857,-0.28667395096429593,109748.5535744998,42900.79288785526
Tata Motors Ltd.,INE155A01022,TATAMOTORS,500570.000000,10510008.000000,2023-12-31,3.000000,3.000000,1120759400000.000000,951587700000.000000,169171700000.000000,24849100000.000000,68500000000.000000,-883000000.000000,74939600000.000000,5417900000.000000,69521700000.000000,69521700000.000000,7663200000.000000,0.000000,9.072150,6.203089,False,136.390398,25.058277,4.937341,476.657445,1067589800000.000000,32.373390,305.919213,563.1097176218855,33.34289173568663,76.48332533024262,10.617189797531672,-9.199360314346086,28.87527728258374
Tata Technologies Ltd.,INE142M01025,TATATECH,544028.000000,10510008.020000,2023-12-31,3.000000,3.000000,13201400000.000000,10528900000.000000,2672500000.000000,50800000.000000,271700000.000000,0.000000,2350000000.000000,647800000.000000,1702200000.000000,1702200000.000000,811300000.000000,0.000000,2.098114,12.894087,False,,,,,,,0.000000,,,,,,
Mahindra & Mahindra Ltd.,INE101A01026,M&M,500520.000000,10520003.000000,2023-12-31,3.000000,3.000000,358099100000.000000,290754100000.000000,67345000000.000000,19448800000.000000,11225900000.000000,0.000000,36670300000.000000,9351600000.000000,27318700000.000000,27318700000.000000,5572600000.000000,0.000000,4.902326,7.628810,False,4.807420,15.814303,4.063491,-12.590598,350272300000.000000,16.458601,3849.029131,21.959690271501547,19.461543344320408,19168.281767270095,20016.878131483194,103.41506513688459,-99.30403039717314
Tech Mahindra Ltd.,INE669C01036,TECHM,532755.000000,10520003.010000,2023-12-31,3.000000,3.000000,131888370000.000000,119548730000.000000,12339640000.000000,1165000000.000000,4434000000.000000,0.000000,6740640000.000000,1551000000.000000,5189640000.000000,5189640000.000000,4410000000.000000,0.000000,1.176789,3.934873,False,-60.012991,-5.670720,1.165872,-60.556874,131281000000.000000,-2.172582,2879.684044,-46.06813838446436,1.9441014223760555,2.6521752077588254,22.24161620807876,29170.88024037593,698680.2971406329
Mahindra & Mahindra Financial Services Ltd.,INE774D01024,M&MFIN,532720.000000,10520003.140000,2023-12-31,3.000000,3.000000,41370000000.000000,11095300000.000000,30274700000.000000,17977600000.000000,692300000.000000,0.000000,8136300000.000000,2034300000.000000,6102000000.000000,6102000000.000000,2471100000.000000,0.000000,2.469346,14.749819,False,-7.311687,23.388670,1.105135,-43.241533,38634700000.000000,27.537567,84.222372,-4.895674762878705,24.44123576585568,189.64162871292578,5.649652830987394,578.7339264482465,10690.183544123916
Maruti Suzuki India Ltd.,INE585B01010,MARUTI,532500.000000,10520005.000000,2023-09-30,3.000000,2.000000,379021000000.000000,322825000000.000000,56196000000.000000,351000000.000000,7944000000.000000,0.000000,47901000000.000000,10838000000.000000,37063000000.000000,37063000000.000000,1510000000.000000,0.000000,24.545033,9.778614,False,80.795122,24.099510,16.311258,144.977124,333169000000.000000,25.285887,290.792795,89.78021524379496,24.124742231851588,46.708115671326844,22.719634221155157,2093.6265840760843,1099246.1617123424
VST Tillers Tractors Ltd.,INE764D01017,VSTTILLERS,531266.000000,10530005.000000,2023-12-31,3.000000,3.000000,1881200000.000000,1604200000.000000,277000000.000000,5900000.000000,67800000.000000,0.000000,203300000.000000,33800000.000000,169500000.000000,169500000.000000,86400000.000000,0.000000,1.961806,9.010206,False,-12.763767,-15.569319,,,,,49.897066,174.83273288728768,115.67253969545182,,,,
