CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PATRAW,PAT,Equity,Reserves,EPS,NPM,Ext_Flag,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth,EPS Rating,TTM1 EPS,TTM1 Sales,TTM2 EPS,TTM2 Sales,TTM3 EPS,TTM3 Sales
Ashok Leyland Ltd.,INE208A01029,ASHOKLEY,500477.000000,2024-02-01,True,2024-02-01,10510001.000000,2023-12-31,3.000000,3.000000,93030400000.000000,81590800000.000000,11439600000.000000,616300000.000000,1784700000.000000,-5900000.000000,9032700000.000000,3232400000.000000,5800300000.000000,5800300000.000000,2936100000.000000,0.000000,1.975512,6.234844,False,60.521946,2.668282,1.910732,181.418572,96855000000.000000,16.890781,247.988048,65.6915333005479,12.359920281847762,766.421673958198,6530.1873939941925,266.08150074566186,74.08095244476854
Force Motors Ltd.,INE451A01017,FORCEMOT,500033.000000,2023-12-31,True,2024-02-01,10510002.000000,2023-12-31,3.000000,3.000000,16955300000.000000,14672000000.000000,2283300000.000000,141100000.000000,682800000.000000,0.000000,1459400000.000000,512000000.000000,947400000.000000,947400000.000000,131800000.000000,0.000000,7.188164,5.587633,False,2186.784141,29.537554,7.455235,392.038057,18106300000.000000,41.890007,3092.412291,1786.8837930753564,88.03068047910664,-112.96021273562464,3629.8267044271774,20631.747556909504,684869.1294117647
Eicher Motors Ltd.,INE066A01021,EICHERMOT,505200.000000,2024-02-01,True,2024-02-01,10510004.000000,2023-12-31,3.000000,3.000000,43037400000.000000,29394100000.000000,13643300000.000000,51300000.000000,1380700000.000000,0.000000,12211300000.000000,3074000000.000000,9137300000.000000,9137300000.000000,273800000.000000,0.000000,33.372169,21.231069,False,34.086798,13.818218,34.289368,52.524837,42066700000.000000,18.478056,5787.890538,44.46118565400293,20.02861815448061,28735.117754445775,32380.329409725055,102.06304304525382,-78.87351420825803
Tata Motors Ltd.,INE155A01022,TATAMOTORS,500570.000000,2024-02-01,True,2024-02-01,10510008.000000,2023-12-31,3.000000,3.000000,188153800000.000000,166930800000.000000,21223000000.000000,4119500000.000000,5131300000.000000,36689000000.000000,48661200000.000000,2960700000.000000,45700500000.000000,45700500000.000000,7663200000.000000,0.000000,5.963631,24.288906,False,802.467705,17.837987,1.657039,533.801183,191215100000.000000,26.282605,532.567929,948.0189201137165,16.829069164408274,-63.404827160987885,4621.576747398964,-64.10559321328022,-85.35443849857629
Tata Technologies Ltd.,INE142M01025,TATATECH,544028.000000,2023-12-31,True,2024-02-01,10510008.020000,2023-12-31,3.000000,3.000000,7122100000.000000,5640500000.000000,1481600000.000000,32100000.000000,166900000.000000,0.000000,1282600000.000000,341900000.000000,940700000.000000,940700000.000000,811300000.000000,0.000000,1.159497,13.208183,False,,,,,,,0.000000,,,,,,
Mahindra & Mahindra Ltd.,INE101A01026,M&M,500520.000000,2024-02-01,True,2024-02-01,10520003.000000,2023-12-31,3.000000,3.000000,260255100000.000000,220520900000.000000,39734200000.000000,348200000.000000,8178700000.000000,0.000000,31207300000.000000,6667500000.000000,24539800000.000000,24539800000.000000,5994900000.000000,0.000000,4.093446,9.429133,False,60.390887,16.582160,5.759661,64.936547,265918000000.000000,19.971216,32690.830899,61.1271847410629,23.066156685188844,163189.30058332052,8008408.193373849,95.67140451118352,-95.55538129095218
Tech Mahindra Ltd.,INE669C01036,TECHM,532755.000000,2024-02-01,True,2024-02-01,10520003.010000,2023-12-31,3.000000,3.000000,108166000000.000000,99999000000.000000,8167000000.000000,753000000.000000,1996000000.000000,0.000000,5418000000.000000,559000000.000000,4859000000.000000,4859000000.000000,4881000000.000000,0.000000,0.995493,4.492169,False,-59.755446,-4.751589,1.139401,-52.282234,109533000000.000000,-2.652044,1186.545159,-46.989391613264466,3.428910384993496,6117.497897448027,5665310.249108029,-4.500665943172848,-99.9989556097418
Mahindra & Mahindra Financial Services Ltd.,INE774D01024,M&MFIN,532720.000000,2024-02-01,True,2024-02-01,10520003.140000,2023-12-31,3.000000,3.000000,34904200000.000000,6950300000.000000,27953900000.000000,16749600000.000000,579600000.000000,0.000000,7341100000.000000,1813200000.000000,5527900000.000000,5527900000.000000,2471100000.000000,0.000000,2.237020,15.837349,False,-12.283352,20.711037,0.951722,-47.647122,32404900000.000000,24.189061,27.783303,-4.20137464352717,23.382961752902602,-12.047226054407096,389.350105143006,434.3925519574313,-79.73759371652982
Maruti Suzuki India Ltd.,INE585B01010,MARUTI,532500.000000,2024-02-01,True,2024-02-01,10520005.000000,2023-09-30,3.000000,2.000000,379057000000.000000,322779000000.000000,56278000000.000000,351000000.000000,7941000000.000000,0.000000,47986000000.000000,10821000000.000000,37165000000.000000,37165000000.000000,1510000000.000000,0.000000,24.612583,9.804594,False,80.281349,24.104795,16.457616,145.369273,333281000000.000000,25.348744,81.285995,88.64882881498903,24.10091134628985,47.24376127555445,22.768762896758684,1.1246949043065138,34.5313986908386
VST Tillers Tractors Ltd.,INE764D01017,VSTTILLERS,531266.000000,2023-12-31,True,2024-02-01,10530005.000000,2023-12-31,3.000000,3.000000,1881200000.000000,1604200000.000000,277000000.000000,5900000.000000,67800000.000000,0.000000,203300000.000000,33800000.000000,169500000.000000,169500000.000000,86400000.000000,0.000000,1.961806,9.010206,False,-12.763767,-15.569319,4.218994,60.290237,2924200000.000000,20.600487,866.150570,70.26626480086115,15.545115987452515,1604.3963097868275,1122.6429878529339,5146.861344664436,17431.315631493882
Bajaj Holdings & Investment Ltd.,INE118A01012,BAJAJHLDNG,500490.000000,2024-02-01,True,2024-02-01,10540002.000000,2023-12-31,3.000000,3.000000,1249900000.000000,308600000.000000,941300000.000000,5500000.000000,79500000.000000,0.000000,856300000.000000,200700000.000000,655600000.000000,655600000.000000,1112900000.000000,0.000000,0.589092,52.452196,False,33.143786,16.889554,14.118699,-0.173443,16789200000.000000,2.562035,10.924885,1.4387708890727067,4.054052767046094,5.836333136482449,5.215802627046235,27.319184375394716,12.136585111275487
Escorts Kubota Ltd.,INE042A01014,ESCORTS,500495.000000,2024-02-01,True,2024-02-01,10540004.000000,2023-12-31,3.000000,3.000000,24238100000.000000,20076800000.000000,4161300000.000000,23800000.000000,415000000.000000,0.000000,3722500000.000000,949800000.000000,2772700000.000000,2772700000.000000,1105000000.000000,0.000000,2.509231,11.439428,False,77.611538,2.924054,2.126697,220.096258,21411800000.000000,9.185942,7703.239011,87.7250163477578,11.54179296471646,-37.92489663237325,1929.8765227943286,76249.64925954792,204191887.2
Hero MotoCorp Ltd.,INE158A01026,HEROMOTOCO,500182.000000,2024-02-01,True,2024-02-01,10540005.000000,2023-12-31,3.000000,3.000000,99657700000.000000,83617100000.000000,16040600000.000000,45200000.000000,1825100000.000000,0.000000,14170300000.000000,3436500000.000000,10733800000.000000,10733800000.000000,399800000.000000,0.000000,26.847924,10.770668,False,50.917155,21.323979,26.365024,47.128961,96937200000.000000,5.741213,493588.640958,42.228951889043856,11.393201871122438,2467829.099701043,28982.294546042005,-94.56890685139938,5154.339075514874
TVS Motor Company Ltd.,INE494B01023,TVSMOTOR,532343.000000,2024-02-01,True,2024-02-01,10540010.000000,2023-12-31,3.000000,3.000000,83184100000.000000,73205800000.000000,9978300000.000000,447500000.000000,1780600000.000000,0.000000,7750200000.000000,1816700000.000000,5933500000.000000,5933500000.000000,475100000.000000,0.000000,12.488950,7.132974,False,68.206945,26.961604,11.293412,31.678406,81908500000.000000,13.438034,114.513486,48.15164170109756,20.196373675040167,417.4436626506349,3300.560624381664,-33.978096070134704,-95.01893047342446
